Player,Fray,Total Battles,Entered Battles,OK,Wins,Losses,Draws
silk75,11,6,6,TRUE,6,0,0
alfaz1,8,6,6,TRUE,6,0,0
giorginella,9,6,6,TRUE,5,1,0
selfrules,12,6,6,TRUE,5,1,0
lele219,7,7,7,TRUE,5,2,0
mystaken,4,9,9,TRUE,5,4,0
uthred192,3,9,9,TRUE,5,4,0
alfaz2,1,7,7,TRUE,4,3,0
ollivertwix,5,7,7,TRUE,4,3,0
jojo777,16,5,5,TRUE,3,2,0
template17,2,6,6,TRUE,3,3,0
brasileiracr7,15,2,2,TRUE,2,0,0
xyrerris,13,3,3,TRUE,2,1,0
zinena,10,5,5,TRUE,2,3,0
