Player,Fray,Total Battles,Entered Battles,OK,Wins,Losses,Draws
alfaz2,5,4,4,TRUE,4,0,0
selfrules,12,4,4,TRUE,3,1,0
lele219,1,8,8,TRUE,3,5,0
xyrerris,2,2,2,TRUE,2,0,0
zinena,10,2,2,TRUE,2,0,0
alfaz1,8,3,3,TRUE,2,1,0
ollivertwix,13,3,3,TRUE,2,1,0
mystaken,7,6,6,TRUE,2,4,0
jojo777,14,2,2,TRUE,1,1,0
uthred192,3,3,3,TRUE,1,2,0
giorginella,9,3,3,TRUE,1,2,0
template17,4,5,5,TRUE,1,4,0
lariosss,15,1,1,TRUE,0,1,0
silk75,11,1,1,TRUE,0,1,0
brasileiracr7,16,1,1,TRUE,0,1,0
