Player,Fray,Total Battles,Entered Battles,OK,Wins,Losses,Draws
selfrules,12,7,7,TRUE,7,0,0
lele219,1,9,9,TRUE,7,2,0
chicosfriend,2,9,9,TRUE,7,2,0
giorginella,9,6,6,TRUE,5,1,0
ollivertwix,5,6,6,TRUE,5,1,0
mystaken,8,7,7,TRUE,5,2,0
alfaz2,4,8,8,TRUE,5,3,0
alfaz1,7,8,8,TRUE,5,3,0
uthred192,3,9,9,TRUE,5,4,0
silk75,11,6,6,TRUE,3,3,0
zinena,10,7,7,TRUE,3,4,0
jojo777,15,5,5,TRUE,2,3,0
xyrerris,14,3,3,TRUE,1,2,0
brasileiracr7,16,2,2,TRUE,0,2,0
