Player,Fray,Total Battles,Entered Battles,OK,Wins,Losses,Draws
jojo777,14,5,5,TRUE,5,0,0
selfrules,12,6,6,TRUE,5,1,0
lele219,1,8,8,TRUE,5,3,0
alfaz1,7,7,7,TRUE,4,3,0
ollivertwix,9,7,7,TRUE,4,3,0
uthred192,4,8,8,TRUE,4,4,0
silk75,11,5,5,TRUE,3,2,0
giorginella,8,7,7,TRUE,2,5,0
mystaken,3,8,8,TRUE,2,6,0
xyrerris,2,8,8,TRUE,2,6,0
brasileiracr7,16,2,2,TRUE,1,1,0
lariosss,13,4,4,TRUE,1,3,0
alfaz2,6,6,6,TRUE,1,5,0
zinena,10,6,6,TRUE,1,5,0
nezuco,15,3,3,TRUE,0,3,0
chicosfriend,5,8,8,TRUE,0,8,0
