Player,Fray,Total Battles,Entered Battles,OK,Wins,Losses,Draws
alfaz2,4,7,7,TRUE,7,0,0
ollivertwix,5,8,8,TRUE,7,1,0
xyrerris,2,6,6,TRUE,6,0,0
alfaz1,7,8,8,TRUE,6,2,0
mystaken,11,5,5,TRUE,5,0,0
lele219,1,8,8,TRUE,5,3,0
jojo777,14,4,4,TRUE,3,1,0
giorginella,9,7,7,TRUE,3,4,0
selfrules,12,3,3,TRUE,2,1,0
silk75,10,5,5,TRUE,2,3,0
nezuco,8,7,7,TRUE,1,6,0
uthred192,3,8,8,TRUE,1,7,0
brasileiracr7,16,3,3,TRUE,0,3,0
lariosss,13,4,4,TRUE,0,4,0
